"","time_window","goal_func","num_maxM_days","memory","num_maxS_days","total_equivalent","k"
"339",20,0.6,146,5,103,"MaxM","3"
"340",20,0.65,152,5,97,"MaxM","3"
"341",20,0.7,0,5,0,"MaxS","3"
"342",20,0.75,156,5,93,"MaxM","3"
"343",20,0.8,0,5,0,"MaxS","3"
"344",20,0.9,0,5,0,"MaxS","3"
"345",20,1,249,5,0,"MaxM","3"
"346",25,0,0,5,249,"MaxS","3"
"347",25,0.1,0,5,0,"MaxS","3"
"348",25,0.2,0,5,0,"MaxS","3"
"349",25,0.3,0,5,0,"MaxS","3"
"350",25,0.4,0,5,0,"MaxS","3"
"351",25,0.45,1,5,248,"MaxS","3"
"352",25,0.5,44,5,205,"MaxM","3"
"353",25,0.55,154,5,95,"MaxM","3"
"354",25,0.6,155,5,94,"MaxM","3"
"355",25,0.65,150,5,99,"MaxM","3"
"356",25,0.7,0,5,0,"MaxS","3"
"357",25,0.75,163,5,86,"MaxM","3"
"358",25,0.8,0,5,0,"MaxS","3"
"359",25,0.9,0,5,0,"MaxS","3"
"360",25,1,249,5,0,"MaxM","3"
"361",10,0,0,0,249,"MaxS","4"
"362",10,0.1,0,0,0,"MaxS","4"
"363",10,0.2,0,0,0,"MaxS","4"
"364",10,0.3,0,0,0,"MaxS","4"
"365",10,0.4,0,0,0,"MaxS","4"
"366",10,0.45,0,0,249,"MaxS","4"
"367",10,0.5,0,0,249,"MaxS","4"
"368",10,0.55,118,0,131,"MaxM","4"
"369",10,0.6,119,0,130,"MaxM","4"
"370",10,0.65,120,0,129,"MaxM","4"
"371",10,0.7,0,0,0,"MaxS","4"
"372",10,0.75,114,0,135,"MaxM","4"
"373",10,0.8,0,0,0,"MaxS","4"
"374",10,0.9,0,0,0,"MaxS","4"
"375",10,1,249,0,0,"MaxM","4"
"376",15,0,0,0,249,"MaxS","4"
"377",15,0.1,0,0,0,"MaxS","4"
"378",15,0.2,0,0,0,"MaxS","4"
"379",15,0.3,0,0,0,"MaxS","4"
"380",15,0.4,0,0,0,"MaxS","4"
"381",15,0.45,0,0,249,"MaxS","4"
"382",15,0.5,19,0,230,"MaxM","4"
"383",15,0.55,130,0,119,"MaxM","4"
"384",15,0.6,127,0,122,"MaxM","4"
"385",15,0.65,127,0,122,"MaxM","4"
"386",15,0.7,0,0,0,"MaxS","4"
"387",15,0.75,134,0,115,"MaxM","4"
"388",15,0.8,0,0,0,"MaxS","4"
"389",15,0.9,0,0,0,"MaxS","4"
"390",15,1,249,0,0,"MaxM","4"
"391",20,0,0,0,249,"MaxS","4"
"392",20,0.1,0,0,0,"MaxS","4"
"393",20,0.2,0,0,0,"MaxS","4"
"394",20,0.3,0,0,0,"MaxS","4"
"395",20,0.4,0,0,0,"MaxS","4"
"396",20,0.45,0,0,249,"MaxS","4"
"397",20,0.5,6,0,243,"MaxM","4"
"398",20,0.55,146,0,103,"MaxM","4"
"399",20,0.6,149,0,100,"MaxM","4"
"400",20,0.65,143,0,106,"MaxM","4"
"401",20,0.7,0,0,0,"MaxS","4"
"402",20,0.75,150,0,99,"MaxM","4"
"403",20,0.8,0,0,0,"MaxS","4"
"404",20,0.9,0,0,0,"MaxS","4"
"405",20,1,249,0,0,"MaxM","4"
"406",25,0,0,0,249,"MaxS","4"
"407",25,0.1,0,0,0,"MaxS","4"
"408",25,0.2,0,0,0,"MaxS","4"
"409",25,0.3,0,0,0,"MaxS","4"
"410",25,0.4,0,0,0,"MaxS","4"
"411",25,0.45,0,0,249,"MaxS","4"
"412",25,0.5,1,0,248,"MaxM","4"
"413",25,0.55,166,0,83,"MaxM","4"
"414",25,0.6,166,0,83,"MaxM","4"
"415",25,0.65,166,0,83,"MaxM","4"
"416",25,0.7,0,0,0,"MaxS","4"
"417",25,0.75,169,0,80,"MaxM","4"
"418",25,0.8,0,0,0,"MaxS","4"
"419",25,0.9,0,0,0,"MaxS","4"
"420",25,1,249,0,0,"MaxM","4"
"421",10,0,0,5,249,"MaxS","4"
"422",10,0.1,0,5,0,"MaxS","4"
"423",10,0.2,0,5,0,"MaxS","4"
"424",10,0.3,0,5,0,"MaxS","4"
"425",10,0.4,0,5,0,"MaxS","4"
"426",10,0.45,0,5,249,"MaxS","4"
"427",10,0.5,0,5,249,"MaxS","4"
"428",10,0.55,110,5,139,"MaxM","4"
"429",10,0.6,111,5,138,"MaxM","4"
"430",10,0.65,112,5,137,"MaxM","4"
"431",10,0.7,0,5,0,"MaxS","4"
"432",10,0.75,114,5,135,"MaxM","4"
"433",10,0.8,0,5,0,"MaxS","4"
"434",10,0.9,0,5,0,"MaxS","4"
"435",10,1,249,5,0,"MaxM","4"
"436",15,0,0,5,249,"MaxS","4"
"437",15,0.1,0,5,0,"MaxS","4"
"438",15,0.2,0,5,0,"MaxS","4"
"439",15,0.3,0,5,0,"MaxS","4"
"440",15,0.4,0,5,0,"MaxS","4"
"441",15,0.45,0,5,249,"MaxS","4"
"442",15,0.5,14,5,235,"MaxM","4"
"443",15,0.55,126,5,123,"MaxM","4"
"444",15,0.6,130,5,119,"MaxM","4"
"445",15,0.65,138,5,111,"MaxM","4"
"446",15,0.7,0,5,0,"MaxS","4"
"447",15,0.75,131,5,118,"MaxM","4"
"448",15,0.8,0,5,0,"MaxS","4"
"449",15,0.9,0,5,0,"MaxS","4"
"450",15,1,249,5,0,"MaxM","4"
"451",20,0,0,5,249,"MaxS","4"
"452",20,0.1,0,5,0,"MaxS","4"
"453",20,0.2,0,5,0,"MaxS","4"
"454",20,0.3,0,5,0,"MaxS","4"
"455",20,0.4,0,5,0,"MaxS","4"
"456",20,0.45,0,5,249,"MaxS","4"
"457",20,0.5,31,5,218,"MaxM","4"
"458",20,0.55,173,5,76,"MaxM","4"
"459",20,0.6,175,5,74,"MaxM","4"
"460",20,0.65,176,5,73,"MaxM","4"
"461",20,0.7,0,5,0,"MaxS","4"
"462",20,0.75,162,5,87,"MaxM","4"
"463",20,0.8,0,5,0,"MaxS","4"
"464",20,0.9,0,5,0,"MaxS","4"
"465",20,1,249,5,0,"MaxM","4"
"466",25,0,0,5,249,"MaxS","4"
"467",25,0.1,0,5,0,"MaxS","4"
"468",25,0.2,0,5,0,"MaxS","4"
"469",25,0.3,0,5,0,"MaxS","4"
"470",25,0.4,0,5,0,"MaxS","4"
"471",25,0.45,1,5,248,"MaxS","4"
"472",25,0.5,34,5,215,"MaxM","4"
"473",25,0.55,183,5,66,"MaxM","4"
"474",25,0.6,181,5,68,"MaxM","4"
"475",25,0.65,182,5,67,"MaxM","4"
"476",25,0.7,0,5,0,"MaxS","4"
"477",25,0.75,178,5,71,"MaxM","4"
"478",25,0.8,0,5,0,"MaxS","4"
"479",25,0.9,0,5,0,"MaxS","4"
"480",25,1,249,5,0,"MaxM","4"
"481",10,0,0,0,249,"MaxS","5"
"482",10,0.1,0,0,0,"MaxS","5"
"483",10,0.2,0,0,0,"MaxS","5"
"484",10,0.3,0,0,0,"MaxS","5"
"485",10,0.4,0,0,0,"MaxS","5"
"486",10,0.45,0,0,249,"MaxS","5"
"487",10,0.5,0,0,249,"MaxS","5"
"488",10,0.55,91,0,158,"MaxM","5"
"489",10,0.6,86,0,163,"MaxM","5"
"490",10,0.65,102,0,147,"MaxM","5"
"491",10,0.7,0,0,0,"MaxS","5"
"492",10,0.75,92,0,157,"MaxM","5"
"493",10,0.8,0,0,0,"MaxS","5"
"494",10,0.9,0,0,0,"MaxS","5"
"495",10,1,249,0,0,"MaxM","5"
"496",15,0,0,0,249,"MaxS","5"
"497",15,0.1,0,0,0,"MaxS","5"
"498",15,0.2,0,0,0,"MaxS","5"
"499",15,0.3,0,0,0,"MaxS","5"
"500",15,0.4,0,0,0,"MaxS","5"
"501",15,0.45,1,0,248,"MaxS","5"
"502",15,0.5,7,0,242,"MaxM","5"
"503",15,0.55,99,0,150,"MaxM","5"
"504",15,0.6,98,0,151,"MaxM","5"
"505",15,0.65,97,0,152,"MaxM","5"
"506",15,0.7,0,0,0,"MaxS","5"
"507",15,0.75,114,0,135,"MaxM","5"
"508",15,0.8,0,0,0,"MaxS","5"
"509",15,0.9,0,0,0,"MaxS","5"
